mnemonic,unit_name,inserted_at,updated_at
nd_ebita,In Percent,5/4/18,5/4/18
nde_mkt,In Percent,5/4/18,5/4/18
nev_noplat,Ratio,5/4/18,5/4/18
pll,In Millions,5/4/18,5/4/18
net_init,In Millions,5/4/18,5/4/18
ebita_marg_fy2,In Percent,5/4/18,5/4/18
net_debt_cy,In Millions,5/4/18,5/4/18
ic_sa2,In Millions,5/4/18,5/4/18
mcap_fye_usd,In Millions,5/4/18,5/4/18
upd,Not Applicable,5/4/18,5/4/18
sale_fy3,In Millions,5/4/18,5/4/18
ni_fy1,In Millions,5/4/18,5/4/18
ni_fy5,In Millions,5/4/18,5/4/18
capx_fy0,In Millions,5/4/18,5/4/18
nev_cy,In Millions,5/4/18,5/4/18
roa_no_gdwl_bnk,In Percent,5/4/18,5/4/18
roaa_no_gdwl,In Percent,5/4/18,5/4/18
roe_bnk,In Percent,5/4/18,5/4/18
rote_bnk,In Percent,5/4/18,5/4/18
roae_bnk,In Percent,5/4/18,5/4/18
ebitda_fwd_12m,In Millions,5/4/18,5/4/18
ebita_marg_fy0,In Percent,5/4/18,5/4/18
ebita_fy0,In Millions,5/4/18,5/4/18
noplat_usd,In Millions,5/4/18,5/4/18
quick_ratio,Ratio,5/4/18,5/4/18
tr_fy1,In Percent,5/4/18,5/4/18
ebit_fy2,In Millions,5/4/18,5/4/18
div_adj_primiss,In Single Unit,5/4/18,5/4/18
beta_ind_l,Not Applicable,5/4/18,5/4/18
inflation_diff_usd,In Percent,5/4/18,5/4/18
rf_equity,In Percent,5/4/18,5/4/18
ebit_fy4,In Millions,5/4/18,5/4/18
dvp_other,In Millions,5/4/18,5/4/18
pe_fy_mcap_ni,Ratio,5/4/18,5/4/18
tcr_bnk,In Percent,5/4/18,5/4/18
gain_loans_rev,In Millions,5/4/18,5/4/18
nev_ebitda_fy1,Ratio,5/4/18,5/4/18
market_cap,In Millions,5/4/18,5/4/18
sp500_indx_return,In Percent,5/4/18,5/4/18
msci_wrld_indx_ret,In Percent,5/4/18,5/4/18
sal_fwd_12m,In Millions,5/4/18,5/4/18
noplat_marg_fwd_12m,In Percent,5/4/18,5/4/18
ric_usd,In Millions,5/4/18,5/4/18
nev_usd,In Millions,5/4/18,5/4/18
rmcap_usd,In Millions,5/4/18,5/4/18
rnev_usd,In Millions,5/4/18,5/4/18
rsale_usd,In Millions,5/4/18,5/4/18
ni_usd,In Millions,5/4/18,5/4/18
ni_cs_usd,In Millions,5/4/18,5/4/18
serv_charge_deposits,In Millions,5/4/18,5/4/18
trust_income,In Millions,5/4/18,5/4/18
total_mort_bnk_act,In Millions,5/4/18,5/4/18
inc_trade_act,In Millions,5/4/18,5/4/18
gain_invest_rev_bnk,In Millions,5/4/18,5/4/18
gain_loans_rec,In Millions,5/4/18,5/4/18
inc_real_estate_rec,In Millions,5/4/18,5/4/18
salary,In Millions,5/4/18,5/4/18
xper_bnk,In Millions,5/4/18,5/4/18
occupy_exp,In Millions,5/4/18,5/4/18
xsga_bnk_total,In Millions,5/4/18,5/4/18
sga_bank,In Millions,5/4/18,5/4/18
fed_dep_ins,In Millions,5/4/18,5/4/18
other_non_int_exp,In Millions,5/4/18,5/4/18
xopro_bnk,In Millions,5/4/18,5/4/18
op_exc_equity_inc_bnk,In Millions,5/4/18,5/4/18
inc_equity_rev_bnk,In Millions,5/4/18,5/4/18
inc_equity_rec_bnk,In Millions,5/4/18,5/4/18
inc_equity_bnk,In Millions,5/4/18,5/4/18
op_equity_bnk,In Millions,5/4/18,5/4/18
gw_intan_amort_bnk,In Millions,5/4/18,5/4/18
op_exc_equity_inc_am_bnk,In Millions,5/4/18,5/4/18
op_equity_inc_am_bnk,In Millions,5/4/18,5/4/18
gain_assets_rev_bnk,In Millions,5/4/18,5/4/18
non_oper_inc,In Millions,5/4/18,5/4/18
non_oper_exp,In Millions,5/4/18,5/4/18
nopi_m_bnk,In Millions,5/4/18,5/4/18
restructure_bnk,In Millions,5/4/18,5/4/18
merger_bnk,In Millions,5/4/18,5/4/18
rcp_bnk,In Millions,5/4/18,5/4/18
gain_assets_bnk,In Millions,5/4/18,5/4/18
gain_invest_bnk,In Millions,5/4/18,5/4/18
asset_writedown_bnk,In Millions,5/4/18,5/4/18
ins_settle_bnk,In Millions,5/4/18,5/4/18
legal_settle_bnk,In Millions,5/4/18,5/4/18
other_unusual_suppl_bnk,In Millions,5/4/18,5/4/18
spi_m_bnk,In Millions,5/4/18,5/4/18
gross_profit_bnk,In Millions,5/4/18,5/4/18
txt_bnk,In Millions,5/4/18,5/4/18
impairment_gw,Absolute,5/4/18,5/4/18
mii_bnk,In Millions,5/4/18,5/4/18
ib_bnk,In Millions,5/4/18,5/4/18
disc_ops,In Millions,5/4/18,5/4/18
extra_acc_items_bnk,In Millions,5/4/18,5/4/18
xido_bnk,In Millions,5/4/18,5/4/18
cash_equiv_bnk,In Millions,5/4/18,5/4/18
ao_fa_bnk,In Millions,5/4/18,5/4/18
trading_assets_bnk,In Millions,5/4/18,5/4/18
invest_security,In Millions,5/4/18,5/4/18
mort_security,In Millions,5/4/18,5/4/18
invest_mort_bnk,In Millions,5/4/18,5/4/18
net_loans_bnk,In Millions,5/4/18,5/4/18
allow_ll_bnk,In Millions,5/4/18,5/4/18
ppe_bnk,In Millions,5/4/18,5/4/18
other_intan_bnk,In Millions,5/4/18,5/4/18
invest_fhlb,In Millions,5/4/18,5/4/18
invest_real_estate,In Millions,5/4/18,5/4/18
loans_for_sale,In Millions,5/4/18,5/4/18
def_tax_assets_current,In Millions,5/4/18,5/4/18
accr_int_receiv,In Millions,5/4/18,5/4/18
other_receiv,In Millions,5/4/18,5/4/18
other_ca_suppl_bnk,In Millions,5/4/18,5/4/18
def_tax_assets_lt_bnk,In Millions,5/4/18,5/4/18
other_real_estate,In Millions,5/4/18,5/4/18
def_charges_lt_bnk,In Millions,5/4/18,5/4/18
other_lt_assets_bnk,In Millions,5/4/18,5/4/18
